"","position","company","description"
"241","Senior - Data Scientist","ey",". EY delivers unparalleled service in big data, business intelligence, and digital analytics built on a blend of custom-developed methods related to customer analytics, data visualization, and optimization. We leverage best practices and a high degree of business acumen that has been compiled over years of experience to ensure the highest level of execution and satisfaction for our clients. At EY, our methods are not tied to any specific platforms but rather arrived at by analyzing business needs and making sure that the solutions delivered meet all client goals.

The opportunity

You will help our clients navigate the complex world of modern data science and analytics. We＊ll look to you to provide our clients with a unique business perspective on how data science and analytics can transform and improve their entire organization - starting with key business issues they face. This is a high growth, high visibility area with plenty of opportunities to enhance your skillset and build your career.

Your key responsibilities

You＊ll spend most of your time working with a wide variety of clients to deliver the latest data science and big data technologies and practices to design, build and maintain scalable and robust solutions that unify, enrich and analyse data from multiple sources.

Skills and attributes for success
Applying data mining and statistical analysis techniques like hypothesis testing, segmentation and modelling to analyze large amounts of data
Helping our clients make data-driven decisions by working with structured and unstructured data sets, building out predictive models and advising our clients on data mining leading practices
Building and applying data analysis algorithms (data mining, statistics, machine learning, natural language processing, sentiment analysis, text mining, etc.) as appropriate
Designing, architecting and developing solutions leveraging big data technology (Open Source, Hortonworks, AWS or Microsoft) to ingest, process and analyze large, disparate data sets to exceed business requirements
Unifying, enriching and analyzing customer data to derive new insights and opportunities
Leveraging in-house data platforms as needed and recommending and building new data platforms/solutions as required to exceed business requirements
Clearly communicating findings, recommendations and opportunities to improve data systems and solutions
Demonstrating deep understanding of and ability to teach data science, concepts, tools, features, functions and benefits of different approaches to apply them
Seeking out information to learn about emerging methodologies and technologies
Clarifying problems by driving to understand the true issue
Looking for opportunities for improving methods and outcomes
Applying data driven approach (KPIs) in tying technology solutions to specific business outcomes
Collaborating, influencing and building consensus through constructive relationships and effective listening
Solving problems by incorporating data into decision making
To qualify for the role you must have
A bachelor's degree and approximately three years of related work experience; or a master's degree and approximately two years of related work experience
At least five years hands-on experience with data science, big data, and data engineering
Extensive experience connecting to various data sources and structures: APIs, NoSQL, RDBMS, Hadoop, S3, Blob Storage, etc.
Deep understanding of statistical modeling as well as ETL, data ingestion/cleansing and engineering skills
Ability to set up data and experimental platforms
R or SAS, Python, Java/C# and Scala
SQL, Hive, Pig are required
Machine learning using k-NN, naive bayes, decision trees, SVM experience required
Experience using data mining and statistical tools
Solid pattern recognition and predictive modelling skills
Recommendation engines, scoring systems, A/B testing
Must have worked with multiple tools/libraries such as Weka, NumPy, PyMongo, R, etc.
Thorough business understanding of data science application and ability to communicate with key decision-makers
Hands-on experience with various big data technologies in one or more ecosystems (Hadoop, AWS or Microsoft)
Communication is essential, must be able to listen and understand the question and develop and deliver clear insights.
Outstanding team player.
Independent and able to manage and prioritize workload.
Ability to quickly and positively adapt to change.
A valid driver＊s license in the US; willingness and ability to travel to meet client needs.
Ideally, you＊ll also have
Bachelor＊s Degree or above in mathematics, information systems, statistics, computer science, or related disciplines
Experience with Azure Data Factory and AzureML a plus
What we look for

We＊re interested in passionate leaders with strong vision and a desire to stay on top of trends in the Data Science and Big Data industry. If you have a genuine passion for helping businesses achieve the full potential of their data, this role is for you.

What working at EY offers

We offer a competitive compensation package where you＊ll be rewarded based on your performance and recognized for the value you bring to our business. In addition, our Total Rewards package includes medical and dental coverage, both pension and 401(k) plans, a minimum of 15 days of vacation plus ten observed holidays and three paid personal days, and a range of programs and benefits designed to support your physical, financial and social well-being. Plus, we offer:
Opportunities to develop new skills and progress your career
A collaborative environment where everyone works together to create a better working world
Excellent training and development prospects, both through established programs and on-the-job training
About EY

As a global leader in assurance, tax, transaction and advisory services, we hire and develop the most passionate people in their field to help build a better working world. This starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. So that whenever you join, however long you stay, the exceptional EY experience lasts a lifetime.

Join us in building a better working world. Apply now.

EY, an equal employment opportunity employer (Females/Minorities/Protected Veterans/Disabled), values the diversity of our workforce and the knowledge of our people."
"242","Data Science Analyst - Strategic Data Solutions","apple","Apple＊s Strategic Data Solutions (SDS) team leads efforts to optimize various business processes and improve the customer journey across Apple. We apply data science and machine learning to drive strategic impact across multiple lines of business at Apple. We are looking for an excellent analyst who is passionate about working closely with partner teams; understanding their processes and analytic needs; and developing technical solutions along the way.
You will sit side-by-side with our data scientists and analyze complex business problems, have access to internal and external data sources, and be expected to communicate meaningful insights to senior leadership and key decision-makers. You should work well in team driven environments with minimal formal structure and at ease in uncertain environments with opposing priorities. You should possess extraordinary business sense, a strong quantitative / technical background, natural curiosity, and the ability to effectively shift between communications styles based on the audience (technical peer review through leadership update).

Key Qualifications
Experience applying analytical techniques to provide solutions to real business problems
Experience with SQL and big data systems and tools
Programming skills in Python or similar language
Experience eliciting business requirements and executive metrics
Experience building business cases and project plans
Good social skills with ability to connect and develop positive partnerships
Strong verbal / written communication skills
(Desired) Background in payments or financial auditing
Creativity to go beyond current tools to deliver the best solution to the problem
Inquisitiveness and a real passion for continued self-improvement and development of new skills
Able to work independently and make key decisions on projects
Ability to provide relevant insights with data
Ability to operate appropriately and effectively in a dynamic, highly matrix and fast-paced environment.
Description
- Support discovery of business problems
- Perform data discovery and build proof of concepts
- Perform ad-hoc and reoccurring statistical analyses
- Work with data warehouse architects and software developers to generate precise business intelligence solutions for business partners
- Present results of analysis to business units
Every single day, people do amazing things at Apple. What will you do?

Education
BS / MS in technical field (math, statistics, engineering, computer science, analytics, or similar)
Apple is an equal opportunity employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants."
"243","Sr. Engineering Manager, Applied Machine Learning","apple","Imagine what you could do here. At Apple, new ideas have a way of becoming outstanding products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish.
Apple＊s Applied Machine Learning team has built systems for a number of large-scale data science applications. We work on many high-impact projects that serve various Apple lines of business. We use the latest in open source technology and as committers on some of these projects, we are opening up the boundaries. Working with different teams, we lead many streams of Apple-scale data. We bring it all together and extract the value. We do all this with an excellent group of software engineers, data scientists, dev-ops engineers and managers.

Key QualificationsProven track record as a manager, demonstrated aptitude in managing complex backend infrastructure projects.Strong multi-functional partnerships and leadership skills.Have shown aptitude in building and launching large-scale distributed systems.Strong Object Oriented Programming skills and proficiency in languages like Java, C++ or similar.Experience in distributed systems, design and implementation of high throughput, low latency systems.Experience in building and managing highly skilled team of distributed systems engineers.Solid CS background, concurrent programming, and data structures.Solid understanding of the full development lifecycle, developing detailed technical designs, and implementation.3+ Years of managerial experience and with 8+ Years of Software engineering experience.
Description
Join Apple's Applied Machine Learning Team as a Senior Software Engineering Manager where you will help build innovative software applications. You have development and implementation experience of large scale mission critical applications while leading a team of elite engineers.
This role will architect innovative solutions while playing a hands-on development role to deliver products fast paced, dynamic environment.
Main responsibilities of this position are the following: Architect creative products, and innovate new technologies &amp; solutions, play a hands-on development and design role, and deliver product in a rapid and dynamic environment.
Be involved in challenging and fast paced projects supporting Apple's business by delivering innovative Systems. Develop tools to monitor system health, performance, and deployment.
Work with project managers and technical teams, in a multi-functional environment, to implement quality products that meet the business goals. You are self-motivated, dedicated and solution-oriented individual.

Education
BS degree in computer science or equivalent field plus 10-12 years or MS degree plus 8-10 years experience, or equivalent.
Apple is an Equal Opportunity Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants."
"244",NA,NA,NA
"245",NA,NA,NA
"246",NA,NA,NA
"247",NA,NA,NA
"248",NA,NA,NA
"249",NA,NA,NA
"250",NA,NA,NA
"251",NA,NA,NA
"252",NA,NA,NA
"253",NA,NA,NA
"254",NA,NA,NA
"255",NA,NA,NA
"256",NA,NA,NA
"257",NA,NA,NA
"258",NA,NA,NA
"259",NA,NA,NA
"260",NA,NA,NA
"261",NA,NA,NA
"262",NA,NA,NA
"263",NA,NA,NA
"264",NA,NA,NA
"265",NA,NA,NA
"266",NA,NA,NA
"267",NA,NA,NA
"268",NA,NA,NA
"269",NA,NA,NA
"270",NA,NA,NA
"271",NA,NA,NA
"272",NA,NA,NA
"273",NA,NA,NA
"274",NA,NA,NA
"275",NA,NA,NA
"276",NA,NA,NA
"277",NA,NA,NA
"278",NA,NA,NA
"279",NA,NA,NA
"280",NA,NA,NA
"281",NA,NA,NA
"282",NA,NA,NA
"283",NA,NA,NA
"284",NA,NA,NA
"285",NA,NA,NA
"286",NA,NA,NA
"287",NA,NA,NA
"288",NA,NA,NA
"289",NA,NA,NA
"290",NA,NA,NA
"291",NA,NA,NA
"292",NA,NA,NA
"293",NA,NA,NA
"294",NA,NA,NA
"295",NA,NA,NA
"296",NA,NA,NA
"297",NA,NA,NA
"298",NA,NA,NA
"299",NA,NA,NA
"300",NA,NA,NA
"301",NA,NA,NA
"302",NA,NA,NA
"303",NA,NA,NA
"304",NA,NA,NA
"305",NA,NA,NA
"306",NA,NA,NA
"307",NA,NA,NA
"308",NA,NA,NA
"309",NA,NA,NA
"310",NA,NA,NA
"311",NA,NA,NA
"312",NA,NA,NA
"313",NA,NA,NA
"314",NA,NA,NA
"315",NA,NA,NA
"316",NA,NA,NA
"317",NA,NA,NA
"318",NA,NA,NA
"319",NA,NA,NA
"320",NA,NA,NA
"321",NA,NA,NA
"322",NA,NA,NA
"323",NA,NA,NA
"324",NA,NA,NA
"325",NA,NA,NA
"326",NA,NA,NA
"327",NA,NA,NA
"328",NA,NA,NA
"329",NA,NA,NA
"330",NA,NA,NA
"331",NA,NA,NA
"332",NA,NA,NA
"333",NA,NA,NA
"334",NA,NA,NA
"335",NA,NA,NA
"336",NA,NA,NA
"337",NA,NA,NA
"338",NA,NA,NA
"339",NA,NA,NA
"340",NA,NA,NA
"341",NA,NA,NA
"342",NA,NA,NA
"343",NA,NA,NA
"344","Staff Software Engineer","general electric","About Us:
GE is the world's Digital Industrial Company, transforming industry with software-defined machines and solutions that are connected, responsive and predictive. Through our people, leadership development, services, technology and scale, GE delivers better outcomes for global customers by speaking the language of industry.
GE offers a great work environment, professional development, challenging careers, and competitive compensation. GE is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.

Role Summary:
You will be responsible for designing and programming a small module or a large component and designing a feature, set of features, or whole feature area. She/he will work independently and contribute to the immediate team and to other teams across business. She/he will Lead design discussion in a limited manner.

Essential Responsibilities:
In this role, you will:

Capture system level requirements by brainstorming with Sr. Architects, Data Scientists, Businesses &amp; Product Managers
Identify the scope of the work, provide initial estimate and justify the estimate with facts
Demonstrate the understanding of Agile software development lifecycle and able to distinguish the core inputs and outputs in each cycle.
Engage in technical discussions; participate in technical designs and present technical ideas through white boarding
Work closely with your peers and keep engaging in a fast pace technical design and development team
Execute in a fast pace delivery mode and focus in delivering tasks to meet the product release goal
Maintain code quality through best practices, unit testing and code quality automation
Seek and provide feedback on design and development
Demonstrate the ability to make informed technology choices after due diligence and impact assessment
Understand whole product, its modules and the interrelationship between them while being an expert in the assigned component or module
Help in designing interfaces and information exchange between modules
Possess advanced domain knowledge and show great customer focus. Expert in processes / methodologies and Skilled in build, release &amp; deployment processes
Articulate the need for scalability and understand the importance of improving quality through testing.
Be an expert in writing code that meets standards and delivers the desired functionality using the technology selected for the project
Drive design reviews, define interfaces between code modules, and applies existing technology to designs
Be an expert in assessing application performance and optimizing/improving it through design and best coding practices
Be an expert in core data structures as well as algorithms and has the ability to implement them using language of choice
Be responsible for providing technical leadership and defining, developing, and evolving software in a fast paced and agile development environment using the latest software development technologies and infrastructure
Provide guidance to a team of 5 to 7 developers with either planning and execution and/or design architecture using agile methodologies such as SCRUM
Work with Product Line Leaders (PLLs) to understand product requirements &amp; vision

Qualifications/Requirements:
Basic Qualifications:

Bachelor＊s Degree in Computer Science or in ※STEM§ Majors (Science, Technology, Engineering and Math)
Minimum of 8 years of technical experience in full stack software development OR Master＊s degree with 6 years of experience OR PhD with 3 years of experience. Minimum of 50% of that experience should be with front-end development.
GE Leadership Program Graduates will get credit towards relevant work experience, commensurate to the program they have completed

Eligibility Requirements:

Legal authorization to work in the U.S. is required. We will not sponsor individuals for employment visas, now or in the future, for this job.
Must be willing to travel.
Must be willing to work out of an office located in Austin, Texas.

Desired Characteristics:
Technical Expertise:

Strong knowledge of Object Oriented Analysis and Design, Software Design Patterns and Java coding principles
Full stack experience with node, polymer, angular and java.
Experience with guiding and providing technical feedback to other SWEs on team.
Experience with TDD is a big plus.

Business Acumen:

Strong problem solving abilities and capable of articulating specific technical topics or assignments
Experience in building scalable and highly available distributed systems
Expert in breaking down problems and estimate time for development tasks
Evangelizes how our technology solves customer problems from a technology and business perspective

Leadership:

Demonstrates clarity of thinking to work through limited information and vague problem definitions
Influences through others; builds direct and ""behind the scenes"" support for ideas
Proactively identifies and removes project obstacles or barriers on behalf of the team
Shares knowledge, power, and credit, establishing trust, credibility, and goodwill

Personal Attributes:

Able to work under minimal supervision
Excellent communication skills and the ability to interface with senior leadership with confidence and clarity
Able to work well with global teams, including time-zone flexibility
Skilled in providing oversight and mentoring team members. Shows ability to effectively delegate work
#DTR

Locations: United States; Texas; Austin

GE will only employ those who are legally authorized to work in the United States for this opening."
"345",NA,NA,NA
"346",NA,NA,NA
"347",NA,NA,NA
"348",NA,NA,NA
"349",NA,NA,NA
"350",NA,NA,NA
"351",NA,NA,NA
"352",NA,NA,NA
"353",NA,NA,NA
"354",NA,NA,NA
"355",NA,NA,NA
"356",NA,NA,NA
"357",NA,NA,NA
"358",NA,NA,NA
"359",NA,NA,NA
"360",NA,NA,NA
"361",NA,NA,NA
"362",NA,NA,NA
"363",NA,NA,NA
"364",NA,NA,NA
"365",NA,NA,NA
"366",NA,NA,NA
"367",NA,NA,NA
"368",NA,NA,NA
"369",NA,NA,NA
"370",NA,NA,NA
"371",NA,NA,NA
"372",NA,NA,NA
"373",NA,NA,NA
"374",NA,NA,NA
"375",NA,NA,NA
"376",NA,NA,NA
"377",NA,NA,NA
"378",NA,NA,NA
"379",NA,NA,NA
"380",NA,NA,NA
"381",NA,NA,NA
"382",NA,NA,NA
"383",NA,NA,NA
"384",NA,NA,NA
"385",NA,NA,NA
"386",NA,NA,NA
"387",NA,NA,NA
"388",NA,NA,NA
"389",NA,NA,NA
"390",NA,NA,NA
"391",NA,NA,NA
"392",NA,NA,NA
"393",NA,NA,NA
"394",NA,NA,NA
"395",NA,NA,NA
"396",NA,NA,NA
"397",NA,NA,NA
"398",NA,NA,NA
"399",NA,NA,NA
"400",NA,NA,NA
"401",NA,NA,NA
"402",NA,NA,NA
"403",NA,NA,NA
"404",NA,NA,NA
"405",NA,NA,NA
"406",NA,NA,NA
"407",NA,NA,NA
"408",NA,NA,NA
"409",NA,NA,NA
"410",NA,NA,NA
"411",NA,NA,NA
"412",NA,NA,NA
"413",NA,NA,NA
"414",NA,NA,NA
"415",NA,NA,NA
"416",NA,NA,NA
"417",NA,NA,NA
"418",NA,NA,NA
"419",NA,NA,NA
"420",NA,NA,NA
"421",NA,NA,NA
"422",NA,NA,NA
"423",NA,NA,NA
"424",NA,NA,NA
"425",NA,NA,NA
"426",NA,NA,NA
"427",NA,NA,NA
"428",NA,NA,NA
"429",NA,NA,NA
"430",NA,NA,NA
"431",NA,NA,NA
"432",NA,NA,NA
"433",NA,NA,NA
"434",NA,NA,NA
"435",NA,NA,NA
"436",NA,NA,NA
"437",NA,NA,NA
"438",NA,NA,NA
"439",NA,NA,NA
"440",NA,NA,NA
"441",NA,NA,NA
"442",NA,NA,NA
"443",NA,NA,NA
"444",NA,NA,NA
"445","Junior Data Scientist, Dell HR - Diversity & Inclusion","dell","Dell is a collective of customer-obsessed, industry-leading visionaries. We believe that technology is essential for driving human progress, and the technology we provide transforms the way we all work and live. But we are more than a technology company 〞 we are a people company. We recognize that over 100,000 employees across six continents have different interests and aspirations. We inspire, challenge and respect each and every one of them, every day. And we provide them with unparalleled growth and development opportunities.

The core purpose of the Junior Data Scientist on the Dell People Insights Team is to provide advanced analytical capabilities to support HR data science initiatives. This role will focus primarily on initiatives in Diversity and Inclusion but will be called upon to help in our support of broader initiatives that yield tangible results for the company.

In addition, the Junior Data Scientist is responsible for taking the lead in consulting with stakeholders who do not have data science background on analytics projects, developing expertise in problem analysis, solution implementation, and ongoing optimization. The Junior Data Scientist is expected to stay current on industry trends, emerging technologies, new methodologies, and interact with multiple support team members to accomplish their objectives.

To accomplish this, the Junior Data Scientist must have a strong interest in data science, statistical analyses, and strong skills in problem solving while demonstrating comfort in dealing with ambiguity. Also, the Data Scientist must possess a high level of intellectual curiosity in proactively identifying opportunities for improved results. The most critical aspect of this role will be the consulting and cultivation of relationships in telling stories with data to support Dell Executives with Dell goals in Diversity and Inclusion related to Human Capital.

Job Responsibilities include:
Selecting features, building and optimizing classifiers using machine learning techniques
Expertise machine learning and modeling platforms
Consulting on client needs, data and dashboard outputs and developing an understanding of the problems faced by stakeholders in telling stories with Human capital to non-mathematical partners.
Expertise in Statistics and validation of statistics and the development of forecasting models to include time series and curve fitting
Enhancing data collection procedures to include information that is relevant for building analytical systems
Processing, cleansing, and verifying the integrity of data used for analysis
Doing ad-hoc analysis and presenting results in a clear manner with typical skills in powerpoint and presentations
Working with teams to create automated anomaly detection systems and track performance of internal initiatives
Preferred Education Background:
Bachelor＊s degree in a mathematical field such as but not limited to: Physics, Computer Science, Mathematics, Statistics, Data Science, Biology or Engineering

Skills and Experience
Experience in software packages including R, other data science and data science tools such as Microsoft Azure, Spark, Informatica, etc.
Experience with Sql, Hadoop ecosystem, WorkDay, Peoplesoft and/or Tableau, Qlikview and other BI Tools is helpful but not required
Experience in talking with stakeholders and familiarization with Design thinking. Specific focus on visual displays of quantitative information, telling stories with data and helping executives understand how Human Capital data affects their organization.
Benefits
We offer highly competitive salaries, bonus programs, world-class benefits, and unparalleled growth and development opportunities 〞 all to create a compelling and rewarding work environment.

Apply now!
Dell is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at Dell are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. Dell will not tolerate discrimination or harassment based on any of these characteristics. Learn more about Diversity and Inclusion at Dell here."
"446","Data Mining Scientist","apple","The Apple Analytic Insight team is looking for an extraordinary data scientist who is passionate about designing, developing, and fielding data mining solutions that have direct and measurable impact to Apple. You will work with various business leaders and executives to help identify viable data mining opportunities and then implement end to end analytical solutions. You should have both a broad knowledge of existing data mining algorithms and creativity to invent and customize when necessary.

Key Qualifications
Strong knowledge of data science algorithms including decision trees, probability networks, association rules, clustering, regression, and neural networks.
Familiarity with database modeling and data warehousing principles with a working knowledge of SQL.
Creativity to go beyond current tools to deliver the best solution to a problem
Strong programming skills in Python, Java, C++, or similar language
Excellent presentation, communication and social skills, with solid attention to detail.
Ability to work independently and make key decisions on projects
Researches, and if applicable, implements new technologies and methods in the areas of data analysis, data modeling, data glossaries and libraries.
Description
Apple has a tremendous amount of data, and we have just scratched the surface in pattern detection, anomaly detection, predictive modeling, and optimization. There are many exciting problems to be discovered and solved and many business owners eager to use data mining.
The Apple Analytic Insight team supports scientists to stay abreast of data science research by attending conferences and working with academic faculty and students. We cultivate a collaborative work environment, but allow solution autonomy on projects.
RESPONSIBILITIES:
- Conceive and design end to end data science solutions to support Apple's business units and initiatives.
- Work with business owners to map business requirements into technical solutions.
- Develop and implement data science solutions to fit business problem, which may include applying algorithms from a standard tool or custom algorithm development.
- Work closely with data warehouse architects and software developers to generate precise business intelligence solutions for end users.
- Support production analytic solutions.
- Perform ad hoc statistical and data science analyses.
- Present results of analyses to business units.
- Takes the initiative to develop and automate regular and ad-hoc reports

EducationEither:
Ph.D. in Data Science, Machine Learning, Statistics, Operations Research or related field
M.S. in related field with 5+ years experience applying data science techniques to real business problems.
Apple is an equal opportunity employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants."
"447","Junior Data Scientist, Dell HR - Talent Acquisition","dell","Dell is a collective of customer-obsessed, industry-leading visionaries. We believe that technology is essential for driving human progress, and the technology we provide transforms the way we all work and live. But we are more than a technology company 〞 we are a people company. We recognize that over 100,000 employees across six continents have different interests and aspirations. We inspire, challenge and respect each and every one of them, every day. And we provide them with unparalleled growth and development opportunities.

The core purpose of the Junior Data Scientist on the Dell People Insights Team is to provide advanced analytical capabilities to support HR data science initiatives. This role will focus primarily on initiatives in Talent Acquisition and Talent and Culture but will be called upon to help in our support of broader initiatives that yield tangible results for the company.

In addition, the Junior Data Scientist is responsible for taking the lead in consulting with stakeholders who do not have data science background on analytics projects, developing expertise in problem analysis, solution implementation, and ongoing optimization. The Junior Data Scientist is expected to stay current on industry trends, emerging technologies, new methodologies, and interact with multiple support team members to accomplish their objectives.

To accomplish this, the Junior Data Scientist must have a strong interest in data science, statistical analyses, customer behavior, and the retail space, while demonstrating comfort in dealing with ambiguity. Also, the Data Scientist must possess a high level of intellectual curiosity in proactively identifying opportunities for improved results.

Job Responsibilities include:
Selecting features, building and optimizing classifiers using machine learning techniques
Expertise machine learning and modeling platforms
Expertise in Statistics and validation of statistics and the development of forecasting models to include time series and curve fitting
Enhancing data collection procedures to include information that is relevant for building analytical systems
Processing, cleansing, and verifying the integrity of data used for analysis
Doing ad-hoc analysis and presenting results in a clear manner with typical skills in powerpoint and presentations
Working with teams to create automated anomaly detection systems and track performance of internal initiatives
Preferred Education Background:
Bachelor＊s degree in a mathematical field such as but not limited to: Physics, Computer Science, Mathematics, Statistics, Data Science, Biology or Engineering

Skills and Experience
Experience in software packages including R, other data science and data science tools such as Microsoft Azure, Spark, Informatica, etc.
Experience with Sql, Hadoop ecosystem, WorkDay, Peoplesoft and/or Tableau, Qlikview and other BI Tools is helpful but not required
Experience in talking with stakeholders and familiarization with Design thinking.

Benefits
We offer highly competitive salaries, bonus programs, world-class benefits, and unparalleled growth and development opportunities 〞 all to create a compelling and rewarding work environment.

Apply now!
Dell is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at Dell are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. Dell will not tolerate discrimination or harassment based on any of these characteristics. Learn more about Diversity and Inclusion at Dell here."
"448","Associate Principal Scientist - Neuroscience (Boston)","merck","Requisition ID: BIO005224

Merck &amp; Co., Inc. Kenilworth, N.J., U.S.A. known as Merck in the United States and Canada, is a global health care leader with a diversified portfolio of prescription medicines, vaccines and animal health products. The difference between potential and achievement lies in the spark that fuels innovation and inventiveness; this is the space where Merck has codified its legacy for over a century. Merck＊s success is backed by ethical integrity, forward momentum, and an inspiring mission to achieve new milestones in global healthcare.
Merck is on a quest for cures and is committed to being the world＊s premier, most research-intensive biopharmaceutical company. Today, we＊re doubling down on this goal. Merck Research Laboratories is a true scientific research facility of tomorrow, and will take Merck＊s leading discovery capabilities and world-class small molecule and biologics R&amp;D expertise to create breakthrough science that radically changes the way we approach serious diseases.
Merck＊s Boston-based discovery neuroscience team is seeking an experienced drug discoverer to join our team in the pursuit of disease modifying therapies for neurodegenerative diseases. This is an opportunity to become part of an established dynamic team focused on discovering therapies rationalized from human genetics, disease pathologies, innate immune biology and phenotyping of patient-derived cells and tissues. The successful candidate will oversee the development and validation of in vivo murine models that explore the spatial and temporal interactions of disease pathologies (e.g. <U+F062>-amyloid and tau), the response of the innate immune system and therapeutic interventions. They will also integrate and adapt learnings from in vivo and in vitro models to improve model validity. Demonstrated expertise in the application of pharmacology, cell biology, histology and biochemistry strategies and experience in both small molecule and biologics modalities is required. The candidate must be an effective communicator with a strong publication record in their area of expertise. This position is for a scientist who can lead by directly engaging with and enable their colleagues in the design, execution and understanding of experimental outcomes.
The responsibilities of the Discovery Neuroscience team member include:

Develop validation strategies for improving disease relevant in vivo models
Independently develop, execute, troubleshoot experiments and supervise others activities.
Manage in depth pharmacological profiling of investigational small molecule and biologics therapies linking disease related endpoints to target PK/PD in chronic in vivo disease models.
Communicate data clearly and concisely to teams and stakeholders.
Monitor, review and critically interpret published work to guide internal research.
Propose novel CNS targets and develop comprehensive target validation strategies
Collaborate across functional areas, including medicinal chemistry, in vivo and in vitro pharmacology and translational sciences.
Manage activities at external academic, biotechnology, and contract research organizations

Qualifications

EDUCATION and EXPERIENCE

PhD in Pharmacology, Biochemistry, Neuroscience or related discipline with a minimum of 6 years of biotech or pharmaceutical industry experience are required.
REQUIRED SKILLS:

Established record of innovative thinking to champion new ideas and solve problems.
Demonstrated ability to thrive in a team environment, manage colleagues and build a team.
Thrives in the lab with expertise in molecular neuroscience techniques in vitro and in vivo including stereotactic injections, viral transduction, microdialysis, creation/management of transgenic mouse lines.
Extensive experience with quantitative histological and biochemical analysis of tissue biomarkers and tissue and CNS cell fractionation for RNAseq profiling.
Critical thinker with strong data analysis skills including application of statistics
Excellent oral and written communication skills including target proposals and program updates in governance settings, manuscripts for publication in peer reviewed scientific journals.
PREFERRED

Strong working knowledge of primary neuronal and glia cell culture methods
Working knowledge in the application of iPSC derived model systems in vitro and in vivo including cell transplantation
Experience in designing and executing mouse behavioral studies.
Your role at Merck is integral to helping the world meet new breakthroughs that affect generations to come, and we＊re counting on your skills and inventiveness to help make meaningful contributions to global medical advancement. At Merck, we＊re inventing for life.

If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request to staffingaadar@merck.com.

Search Firm Representatives Please Read Carefully:
Merck &amp; Co., Inc. is not accepting unsolicited assistance from search firms for this employment opportunity. Please, no phone calls or emails. All resumes submitted by search firms to any employee at Merck via email, the Internet or in any form and/or method without a valid written search agreement in place for this position will be deemed the sole property of Merck. No fee will be paid in the event the candidate is hired by Merck as a result of the referral or through other means.

For more information about personal rights under Equal Employment Opportunity, visit:

 EEOC Poster
 EEOC GINA Supplement

Job: Biology-Discovery
Other Locations:

Employee Status: Regular
Travel: Yes, 5 % of the Time
Number of Openings: 1
Shift (if applicable):
Hazardous Materials: BSL2, OEB3 compounds
Company Trade Name: Merck"
