position,company,description,numreview,location
Machine Learning Engineer,Scaleapi,"<span id=""job_summary"" class=""summary""><div><div><b>About Us:</b></div><br>
<div>
Scale API (YC S16) is an API for human intelligence. Our mission is to bring human intelligence to software applications. By combining machine learning and a human workforce, we’re actively bridging the gap between what software can do and what humans can do. Our current clients include Alphabet (Google), Uber, Procter &amp; Gamble, Houzz, Gusto, and many more.</div><div><br>
</div><div>
We raised our Series A from Accel and were one of the top YC companies in our batch. We have breakout revenue and traction and have been growing rapidly. We’re still a small team, and we’re hiring to build a world-class founding team. We’re from Harvard, MIT, and CMU, and previously worked at Dropbox, Quora, Snapchat, Facebook, and Palantir.
</div><div><b>Machine Learning Engineer</b></div><div><br>
</div><div>
We are building one of the largest hybrid human-machine systems out there. We currently complete millions of tasks a month, and that comes with a host of interesting technical challenges. Here are just a few of the challenges we face:</div><div><br>
</div><ul><li>Building robust machine learning models to automate requests and improve Scaler efficiency</li><li>Building models to properly estimate quality of tasks and guarantee quality on requests at scale</li><li>Properly routing tasks from customers to Scalers for low turnaround and high accuracy</li><li>Building automated candidate qualification, hiring, and firing at scale</li><li>Creating optimized and efficient tooling for Scalers to complete hundreds of complex tasks</li></ul><div><br>
</div><div>
You should have extensive experience in at least one of the following and familiarity with all of them:</div><div><br>
</div><ul><li><b>Deep Learning:</b> Experience building CNNs, LSTMs, etc. to build audio and visual models</li><li><b>Classical Machine Learning:</b> non-deep learning methods such as random forests, collaborative filtering, HMMs, etc.</li><li><b>Applied ML Engineering:</b> Experience building large-scale data and machine-learning pipelines</li></ul><div><br>
</div><div>
Nice to haves:</div><div><br>
</div><ul><li>Experience with TensorFlow</li><li>Experience with Python and Redshift</li></ul></div></span>",,"San Francisco, CA"
Senior Data Engineer,HackerOne,"<span id=""job_summary"" class=""summary""><b>Position Summary:</b><br>
HackerOne is hiring a Senior Data Engineer to help us discover, collect, and build complex data by building out our data infrastructure from the ground up. You’ll be part of a growing and globally distributed infrastructure team responsible for building the foundation on top of which HackerOne runs, and play a key role in designing and building high performance, scalable solutions for large volume data ingestion, transformation, and processing.
<br><br>
-----------
<br><br>
<b>Who we are:</b><br>
-----------
<br><br>
HackerOne connects companies and the white hat hacker community as part of the company’s mission to build a safer Internet. With more than 1,000 companies and more than 200,000 registered hackers, HackerOne has the world’s largest platform and community of its kind. Organizations including The U.S. Department of Defense, General Motors, Lufthansa and Starbucks trust HackerOne to find critical software vulnerabilities before criminals can exploit them. HackerOne customers have resolved more than 70,000 vulnerabilities and awarded more than $29M in bug bounties.
<br><br>
-----------------
<br><br>
<b>What you will do:</b><br>
-----------------
<br><br>
<ul>
<li>Build the infrastructure required for optimal extraction, transformation, storage, and loading of data from a wide variety of data sources</li>
<li>Assemble large, complex data sets that meet functional and non-functional business requirements</li>
<li>Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader</li>
<li>Implement Comprehensive Testing and Continuous Integration frameworks for schema, data, and functional processes/pipelines</li>
<li>Work with executive, product, data and design teams to assist with data-related technical issues and support their data infrastructure needs</li>
<li>Build infrastructure for ML models to derive business value from security vulnerability data</li>
<li>Collaborate with product development teams to productize solutions you develop</li>
</ul>
------------------------
<br><br>
<b>What we are looking for:</b><br>
------------------------
<br><br>
<ul>
<li>5+ years experience developing data frameworks using Python</li>
<li>5+ years of using SQL for data manipulation in a fast-paced work environment</li>
<li>Experience working with open source technologies like Kafka, Hadoop, Hive, Presto, and Spark, or similar</li>
<li>Experience building and optimizing ‘big data’ data pipelines, architectures and data sets</li>
<li>Mastery of data warehousing development and fundamentals</li>
<li>Passion for business-oriented data development</li>
<li>Excellent verbal and written communication skills</li>
</ul>
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.</span>",3 reviews,"San Francisco, CA"
Data and Policy Analyst III – Healthcare and Payment Policy Research Coordinator,Acumen LLC,"<span id=""job_summary"" class=""summary""><div><p><b>Position Summary:</b></p>
<p>
The Data and Policy Analyst III position provides analytical support for research and consulting projects for government and private clients, primarily in the area of health policy. This position is responsible for managing and analyzing data, researching and interpreting policy, and communicating findings to multiple audiences.</p>
<p>
The Healthcare and Payment Policy group works with multiple federal agencies, including the Center for Medicare (CM) at the Centers for Medicare and Medicaid Services (CMS) and the Office of Assistant Secretary for Planning and Evaluation (ASPE). A major focus of the group’s projects is the development of data-driven tools to identify, monitor, and analyze the effects of payment policy changes in real time. The group also develops and evaluates Medicare payment policy, including working directly with CM to propose and implement major payment policy reforms. Lastly, the group performs detailed data analysis and statistical modeling to simulate the effects of alternative payment models (APMs), and to design and propose changes to existing APMs. Currently, this research area covers over 15 active projects that span multiple policy settings, and continues to expand.</p>
<p>
As the group coordinator, you will work under the supervision of the group’s research manager. This role is intended to support long-term development of the teams and projects under this research area, and you will play a critical role in improving sustainability and scalability of projects that are active across the group.</p>
<p><b>
Job Functions and Responsibilities:</b></p>
<p>
Under general supervision, the Data and Policy Analyst III performs some combination of the following job functions:</p>
<ul>
<li>Prepares descriptive statistics in draft form</li>
<li>Conducts literature searches and other independent research and drafts summaries of findings</li>
<li>Assists with conducting econometric and statistical analyses of data using statistical software such as SAS and STATA</li>
<li>Assists with coordinating project activities and communications among diverse groups of internal and external clients and team members</li>
<li>Assists with interpreting study specifications, research findings, and quantitative analyses for relevant audiences</li>
<li>Assists with developing research files from large confidential datasets, such as health care claims, enrollment data, and payment data</li>
<li>Assists with preparing project reports, memos, presentations, and proposals</li>
<li>Assists with delivering technical assistance and presenting findings to clients</li>
</ul><p>In addition, the Data and Policy Analyst III:</p>
<ul>
<li>Complies with company policies and with applicable laws and regulations</li>
<li>Demonstrates professionalism in the workplace</li>
<li>Performs other duties as assigned</li></ul>
<br>
Required Skills<br>
<p><b>Qualifications Required:</b></p>
<p><i>
Education and Experience</i></p>
<ul>
<li>Bachelor’s degree in a quantitative, public policy, or related field, or equivalent relevant experience</li>
<li>18 months of work experience (in addition to experience in lieu of degree)</li>
</ul><p><i>Position-specific Qualifications</i></p>
<ul>
<li>Excellent quantitative analytical skills</li>
<li>Excellent organizational skills and attention to detail</li>
<li>Excellent oral and written communication skills</li>
<li>Experienced in one or more of the following technical competencies:
<ul><li>Statistics</li>
<li>Programming</li>
<li>Policy writing</li>
<li>Research methods documentation</li>
<li>Project management</li>
</ul></li><li>Skilled in Microsoft Office Suite</li>
<li>Experienced in prioritizing tasks and meeting deadlines in a fast-paced environment</li>
<li>Experienced at working in a team-oriented environment</li>
<li>Experienced in demonstrating initiative, critical thinking, and problem-solving</li>
<li>Able to demonstrate strategic and goal-oriented thinking</li>
<li>Familiar with identifying relationships among projects or tasks</li>
<li>Able to leverage efficiencies among projects or tasks</li>
</ul><p><i>Qualifications Desired</i></p>
<ul>
<li>Demonstrated aptitude and enthusiasm for learning</li>
<li>Demonstrated interest in health and social policy</li>
<li>Strong critical thinking and a high level of initiative</li>
<li>Experience with file management and task tracking</li>
<li>Familiarity with database management</li>
<li>Basic knowledge of PowerShell and/or VBA</li>
</ul><p><b>Any application without a cover letter will not be considered. Transcripts and writing samples are not required, however highly preferred and may be requested. We are excited to review your application and look forward to seeing how you may best contribute to our work.</b></p><br>
Required Experience</div></span>",13 reviews,"Burlingame, CA 94010"
"Associate Principal Scientist, ADME",Merck,"<span id=""job_summary"" class=""summary""><div><b>Requisition ID: </b>RES002101<br>
<br>
<div>Merck Research Laboratories South San Francisco, a wholly owned subsidiary of Merck and Co., is focused on driving discovery research. Our new multi-disciplinary discovery research site offers state-of- the-art resources to explore the most promising science combined with Merck’s world-class R&amp;D expertise in small molecules and biologics. Located within the heart of the Bay area’s biomedical community, research conducted in our new laboratories spans exploratory biology through early clinical development and is an integral part of Merck’s powerful world-class network of drug and vaccine discovery.
</div><br>
<div>At Merck, we are inspired by the belief that a research-driven enterprise dedicated to scientific excellence can create medicines and vaccines that save and improve lives. Every employee is building on our proud legacy of scientific breakthrough. Our ability to impact the lives of patients worldwide depends on the integrity, creativity, humility and scientific acumen of our team. We are creating a diverse organization that is inspired by invention and founded on a culture of respect and collaboration. At Merck Research Labs South San Francisco, you’ll have the opportunity to expand your knowledge and skills through collaboration with talented and dedicated colleagues while advancing your career.</div><br>
<div><div><div><div>
This position will support Merck's drug discovery and early clinical development efforts in the Department of Pharmacokinetics, Pharmacodynamics and Drug Metabolism (PPDM) and specifically within the Absorption, Distribution, Metabolism and Excretion (ADME) group.
</div><br>
<div>Responsibilities include and are not limited to the following:</div><ul><li>
Represent PPDM and ADME on Discovery Teams throughout all stages of discovery to build key structure-property relationships across multiple drug modalities
</li><li>Design and execute studies utilizing in silico, in vitro and in vivo approaches to predict, understand, and optimize ADME properties of our therapeutics entering development</li><li><div>
Contribute to development, execution, and fostering of translational Pharmacokinetic- Pharmacodynamic/Efficacy and other useful quantitative pharmacology applications on program teams in a discovery setting</div></li><li><div>
Present analyses to teams and to teams and to management</div></li><li><div>
Preparing documentation for regulatory submissions as part of early clinical development
</div><br>
</li></ul><div>Working at Merck’s new multi-disciplinary discovery research site in South San Francisco, the candidate should be creative and have a passion for drug discovery as well as a track record of driving results and rapidly progressing from idea conception to in silico, in vitro, and in vivo evaluation. As part of Merck’s emphasis on innovation, the successful candidate also will actively explore external (commercial and academic) opportunities in order to engage new technologies and approaches to drug discovery relevant to Merck’s drug discovery/development pipeline.</div><ul><li>
Must excel in a team environment, where they will also collaborate with discovery functions (eg, medicinal and computational chemistry, translational pharmacology, pharmaceutics, toxicology) and development functions (eg, early clinical pharmacology, process chemistry) in order to prepare early data sets that can be translated to early clinical development.</li><li>
Expected to effectively present their work at team meetings as well as promote Merck science through publications and presentations/lectures.</li><li>
The position reports to the local PPDM ADME Director in SSF.</li></ul></div></div></div><b>
Qualifications</b><br>
<br>
<div>Education and Work Experience Requirements:</div><ul><li><div>
Bachelor’s degree with a minimum of (12) years industry experience
</div></li><li><div>Master’s degree with a minimum of (8) years Industry experience
</div></li><li><div>PhD with a minimum of (4) years Industry experience in a Pharmaceutical Preclinical Development or Discovery organization</div></li><li><div>
Relevant subjects for highest degree include Pharmaceutics, Pharmaceutical Chemistry, Chemistry, Biochemistry, Pharmacology, Engineering, or related science
</div></li></ul><div>Required Experience:</div><ul><li>
Strong leadership, interpersonal, communication, problem solving, and collaboration skills along with strengths in delivering results on firm deadlines in support of discovery/early development programs</li><li>
Demonstrated disposition towards recognition in the field, creativity and innovation via a strong publication/presentation record</li><li>
Experience in providing ADME support to drug discovery teams and guiding the optimization of small molecule therapeutics towards development candidates</li></ul><div>
Preferred Experience:</div><ul><li>
Experience in optimization of biologic and other modality therapeutics</li><li>
Experience in computational ADME using modeling software</li><li>
Experience in establishing Pharmacokinetic-Pharmacodynamic/Efficacy relationships using modeling software</li><li>
Experience in serving on multidisciplinary project teams that span cardio-renal, metabolic, and/or ophthalmic areas</li></ul><br>
<div>
The quality of our team is essential to our success. We are creating a new and innovative approach to rewarding our employees and establishing a comprehensive value proposition. Our competitive compensation program and benefits are designed to support the wide range of goals, needs and lifestyles of our employees, and the people that matter the most in their lives. If you need an accommodation for the application process please email us at staffingaadar@merck.com.</div><br>
<div>
Merck &amp; Co., Inc. Kenilworth, N.J., U.S.A. known as Merck in the United States and Canada, is a global health care leader with a diversified portfolio of prescription medicines, vaccines and animal health products. Today, we are building a new kind of healthcare company – one that is ready to help create a healthier future for us all.</div><br>
<b>
Job: </b>Research Science<br>
<b>Other Locations:</b>
<br>
<b>Employee Status: </b>Regular<br>
<b>Travel: </b>No<br>
<b>Number of Openings: </b>1<br>
<b>Shift (if applicable):</b><br>
<b>Hazardous Materials:</b><br>
<b>Company Trade Name: </b>Merck</div></span>","2,987 reviews","South San Francisco, CA"
Senior Research Scientist,Celtra Inc.,"<span id=""job_summary"" class=""summary""><div><p>Do you always need to get to the bottom of how things work? Do you get heart palpitations when siphoning through great amounts of data? Do you live for the eureka moment when everything aligns and you find a clear story in the patterns? Then keep reading…</p>
<p>
Creating great ads with a soul is not easy. Join our expanding product team in San Francisco to shape the next generation of our platform and help us change that.</p>
<p>
You will have access to billions of data points and the chance to partner with senior leaders within our organization.</p>
<p>
Responsibilities:</p>
<ul>
<li>Design &amp; implement new experiments or quasi-experiments, and develop new methods for causal inference</li>
<li>Partner with solutions engineers and Product to understand client needs and develop research or evaluation studies, rooted in experimental design</li>
<li>Channel learnings back to product innovation and product design</li>
<li>Design and build data pipelines to support studies and analysis when needed</li>
<li>Read academic papers and apply appropriate statistics and data science methods at Celtra</li>
</ul><p>Requirements:</p>
<ul>
<li>Ph.D. in Statistics (or other doctoral degree with a strong emphasis on statistical methodology (economics, political science, operations research, etc.); a Master’s degree or other degrees may be considered with substantial relevant experience</li>
<li>Experience with designing and analyzing experimental studies, familiarity with causal inference using Potential Outcomes Framework, multivariate quantitative analyses techniques, identifying heterogenous treatment effects</li>
<li>Experience conducting causal analysis for non-experimental designs (e.g. propensity score matching, regression discontinuity, instrumental variable design)</li>
<li>Database experience including operational knowledge of SQL</li>
<li>Proficient in R and at least one other programming language (e.g. PHP, JavaScript, or Python, Java/Scala)</li>
<li>Ability to access, munge, visualize, and model datasets with minimal engineering support, and communicate your results verbally and in writing</li>
</ul><p>Nice to have:</p>
<ul>
<li>Familiarity with Apache Spark</li>
<li>Knowledge of advertising industry</li></ul></div></span>",,"San Francisco, CA"
Sr Quantitative Finance Analyst,Bank of America,"<span id=""job_summary"" class=""summary""><div><p><b>Job Description:</b></p><br>
<br>
<p>Global Risk Analytics (GRA) is looking for a quantitative analyst to join its Model Standards and Oversight (MSO) team. The analyst will focus on improving all aspects of GRA’s model documentation, including writing standards, technical exposition, content automation, infrastructure standardization and review processes.</p><p>
This is a challenging and intellectually stimulating role, offering exposure to an extensive set of models across all areas of risk and drawing on a broad range of skills. The successful candidate will possess the mathematical skills necessary to understand the underlying models, the writing and communication skills necessary to produce and advise on model documentation, and the ability to exert broad influence.</p><br>
<p>
Key tasks include the following:</p><ul><li>
Enhance standards for GRA’s model documentation</li><li>
Standardize the infrastructure used by GRA to produce model documentation</li><li>
Influence GRA’s broad variety of teams to improve their model documentation standards</li><li>
Automate and standardize GRA’s documentation processes</li><li>
Influence GRA’s key partners to enhance documentation processes</li><li>
Review and edit critical, regulatory model documentation submissions</li><li>
Help establish appropriate skillsets within GRA’s modelling teams<br>
</li></ul><p><b>Key Competencies</b></p><ul><li>
Demonstrates Effective Documentation</li></ul><ul><li>
Leverages Technology</li><li>
Drives Operational Excellence</li><li>
Demonstrates Analytical Ability</li></ul><br>
<p><b>Required Skills</b></p><br>
<ul><li>
Numeracy</li><li>
Ability to produce technical documentation of a quantitative nature</li><li>
Ability to understand a broad range of finance models</li><li>
Ability to influence others</li><li>
Excellent verbal and written communication skills</li></ul><br>
<p><b>Desired Skills</b></p><br>
<ul><li>
Ability to apply Excel, VBA, LaTeX, Word and SDLC tools such as JIRA</li></ul><br>
<br>
<p><b>Shift:</b></p>
1st shift (United States of America)<br>
<br>
<p><b>Hours Per Week:</b></p>
40</div></span>","21,949 reviews","San Francisco, CA 94104"
Research Associate II,Public Health Institute,"<span id=""job_summary"" class=""summary""><p>PHI is seeking a highly organized, collaborative, and detail oriented research professional to join the California Department of Public Health’s Occupational Health Branch as Research Associate II. Under the leadership of the Research Scientist II, the Research Associate II will assist with the management and processing of occupational pesticide illness surveillance data. Daily duties include conducting case selection, retrieving medical records, abstracting and coding data, performing data entry, and assisting with data quality control.</p>
<br><div><p><b>As the Research Associate, you will:
</b></p><ul><li>Select reports of occupational pesticide poisoning for project inclusion.
</li><li>Contact hospitals to obtain medical records.
</li><li>Abstract case information.
</li><li>Assign occupation, industry, chemical, and medical codes to cases.
</li><li>Research chemical toxicology information.
</li><li>Conduct precise data entry of demographic and abstracted information.
</li><li>Assist with data cleaning.</li>
<li>Manage invoices.
</li><li>Participate in calls and meetings with external research partners.
</li><li>Perform other duties as assigned.</li></ul></div>
<br><div><p><b>Our ideal candidate will possess the following qualifications.
</b></p><ul><li>Bachelor’s degree in a public health, life sciences, or social sciences field (required).
</li><li>2 years of experience in research or a related field.
</li><li>Intermediate proficiency with Microsoft Excel, Word, and Access.
</li><li>Ability to read lengthy documents to abstract and code pertinent information using standardized code sets.
</li><li>Knowledge of medical terminology is a plus!
</li></ul><p><b>Important Information:
</b></p><ul><li>This is a full time (40 hours/week) position based in Richmond, CA.
</li><li>PHI offers competitive pay rates.
</li><li>This position is eligible for PHI’s full suite of benefits including but not limited to medical, dental, and vision coverage, health care and dependent care flexible spending accounts, and generous time off. Click here to view benefits.</li></ul></div><br></span>",26 reviews,"Richmond, CA"
Lead Data Science Engineer,Sojern,"<span id=""job_summary"" class=""summary"">The Company
<br><br>
Want to be part of a fantastic and fun startup that’s revolutionizing the online travel advertising space? Want to join a data science team that's growing fast and making a big impact on the business? Come join us at Sojern!
<br><br>
On the Deloitte Fast 500 for five years running, Sojern applies technology to the travel advertising space, delivering $10B in bookings for the thousands of hotel, airline, and cruise companies that make up our customer base.
<br><br>
The Team
<br><br>
It is an exciting time to join the data science team at Sojern: business is booming, and the team plays a key role in Sojern's mission by automating, analyzing, modeling, and optimizing the way we target potential travelers with the most relevant and timely travel ads.
<br><br>
The data science team collaborates with product to define projects, analyze data sets, and build solutions. Example projects include:
<br><br>
<ul>
<li>Delivering a better understanding of why a traveler books a hotel or flight, and utilizing those insights in production models which are used to improve ad relevance, timeliness, and performance for millions of ads per day</li>
<li>Analyzing, visualizing, and improving our ML pipeline that pushes thousands of models into production each month</li>
<li>Applying ideas from game theory to better understand the value of our audience targeting methods</li>
<li>Optimizing automated campaign management which allocates budget for over 40 million display ad impressions daily for over a thousand customers and millions of ad spend per year</li>
</ul>
As a part of engineering, we also drive our solutions to production including:
<br><br>
<ul>
<li>Creating data processing jobs using Google's big data infrastructure such as BigQuery</li>
<li>Deploying our codebase to production with docker/containers on Google Cloud's Kubernetes platform</li>
<li>Building and improving internal data science tools like our Jupyter server to scale our impact</li>
</ul>
The Role
<br><br>
We’re looking for lead data science engineers who can leverage their prior Ad Tech experience and take on and lead large data science projects, from inception to completion. In addition to contributing technically throughout the project, lead data science engineers are also responsible for:
<br><br>
<ul>
<li>Working with product to help define product requirements</li>
<li>Driving large data science efforts to completion, by helping design and plan the effort and by coordinating/supporting the efforts of other data science engineers contributing to the project</li>
<li>Interfacing with stakeholders throughout the company to bring new functionality and products to life</li>
<li>Promoting innovation by identifying inefficiencies in modeling or process and collaborating to propose and implement solutions</li>
<li>Representing the team and its capabilities across the business</li>
<li>Being a go-to expert on how our systems work</li>
<li>Understanding our customers, possessing empathy for their challenges and goals</li>
</ul>
Large data science projects revolve around extending Sojern’s core capabilities in new dimensions, e.g., additional inventory channels, so prior knowledge and leadership experience are crucial.
<br><br>
Requirements
<br><br>
<ul>
<li>Python Proficiency -- It’s our lingua franca, and we’re big Jupyter fans</li>
<li>MS of PhD in CS or STEM -- Ability to transform concepts into practical solutions</li>
<li>Production Machine Learning Experience -- Successful implementation of ML solutions in production setting</li>
<li>Communication Ability -- Experience/comfort in presenting abstract concepts</li>
<li>Track Record of Driving DS/ML Projects to Production -- Experience leading large DS/ML projects from concept to conclusion and sharing results and learnings</li>
<li>Extensive Experience as a Data Scientist – 7+ years of experience with data science/ML</li>
<li>Ad Tech Experience -- 2+ years of experience with data science/ML techniques as applied to Ad Tech, specifically experience on FB, RTB, SEM, cross-channel attribution, cross-device graph technologies</li>
</ul>
<b>Company Culture:</b><br>
At Sojern, culture is king. We keep the stress low, the dress casual, and the work interesting. No one is counting your vacation days, we trust (and encourage!) our employees to take the time they need. We regularly eat out as a team, provide the hardware you’ll need, and otherwise let you dig in!
<br><br>
Recognized on the Top Company Cultures list by Entrepreneur Magazine, Sojern is headquartered in San Francisco, with teams based in Dubai, Dublin, Hong Kong, London, Mexico City, New York, Omaha, Paris, Singapore, and Sydney. For more information, visit www.sojern.com.
<br><br>
<b>Perks:</b><br>
<ul>
<li>Opportunities: Be part of a growing team with training and support to help you grow</li>
<li>Ownership: Lead creative and challenging projects</li>
<li>Give Back: We give 40 hours a year to volunteer and organize office volunteer programs with local organizations</li>
<li>Culture: Strong core business values, focus on teamwork, vibrant, social and fun environment</li>
<li>Snacks: Variety of snacks in the office</li>
<li>Meals: Monthly catered lunches &amp; happy hours</li>
<li>Wealth: Stock options</li>
<li>Time Off: Flexible vacation days</li>
</ul>
At Sojern, we value diversity and always treat all employees and job applicants based on merit, qualifications, competence, and talent. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.</span>",,"San Francisco, CA 94111"
Clinical Pharmacokineticist,AstraZeneca,"<span id=""job_summary"" class=""summary"">MedImmune is the worldwide biologics research and development arm of AstraZeneca. Here, you’ll have the opportunity to make a difference in people’s lives every day. As one of the world’s premier biotechnology companies, our mission is centered on delivering life-changing products that advance world health, and help fight and cure disease.
<br><br>
We’re constantly pushing the boundaries of science to deliver life-changing medicines to patients, with a passion for discovery and a pipeline to show for it. We’re pioneering innovative research and exploring novel pathways across key therapeutic areas including oncology, respiratory, inflammation and autoimmunity, cardiovascular and metabolic disease, and infection and vaccines. And we’re industry-leading in immunology, protein engineering and translational science. We offer a unique and strong collaborative network as part of the AstraZeneca family, as together we explore synergies between small and large molecules.
<br><br>
MedImmune has a dynamic environment that fosters collaboration and innovation. We attract top minds, and we nurture and build top talent. We are seeking a Clinical Pharmacokineticist to work in our South San Francisco office.
<br><br>
<b>Job Description:</b><br>
The pharmacokinetist functions as the Global PKPD &amp; Bioanalysis project leader and team representative for biotherapeutic products at various stages of research and clinical development. The scientist will be responsible for all aspects of PK-related support for biotherapeutic products, including design of studies, analysis and preparation of toxicokinetic reports, clinical PK sub-reports, pre-clinical and clinical protocols; perform non-compartmental PK analysis, dataset preparation for NONMEM analysis, simple NONMEM analysis and reporting of data, and communication of data in regulatory documents and meetings. The scientist is also expected to use advanced PKPD modeling tools to support the therapeutic target evaluation, the design of in vivo animal efficacy studies, starting dose recommendation for first-in-human studies, the assessment of clinical PKPD data, and the optimal design of clinical trials.
<br><br>
<b>Position Requirements:</b><b>Major Duties and Responsibilities:</b><br>
Represent Global PKPD &amp; Bioanalysis on cross-functional project teams involved in the nonclinical and clinical development of biotherapeutics.
<br>Plan, coordinate, initiate, and monitor outsourced nonclinical pharmacokinetic (PK) and pharmacodynamic (PD) studies; Prepare PK/PD reports for outsourced studies; review and finalize study reports
<br>Collaborate with toxicologists on the design and reporting of nonclinical safety studies; prepare TK reports; Comply with GLP regulations for GLP studies
<br>Prepare PK/PD and bioanalytical subr-reports for outsourced studies; review and finalize study reports
<br>Collaborate with biostatisticians, clinicians and clinical operation managers for the optimal design of Phase I-IV studies; contribute to the clinical study protocols and reports;
<br>Use translational simulations to project the human PK/PD for the starting-dose selection for first-in-human studies. Perform population- and/or mechanism-based modeling to characterize the PK and PD of candidate drugs. Perform clinical trial simulations to support development decisions.
<br>Prepare relevant sections of regulatory documents; participate in regulatory meetings if requested.
<br>Present and report data in approved external meetings and publications
<br><br>
<b>Education &amp; Experience:</b><br>
Bachelor's degree in pharmaceutical sciences, biological sciences, chemistry or related field with 5-10 years of experience; OR
<br>Master’s Degree in pharmaceutical sciences, biological sciences, chemistry or related field with 2-8 years of experience; OR
<br>Pharm D with clinical pharmacology fellowship training or relevant industry experience (3-5 years)
<br>PhD in pharmaceutical sciences or a related field (0-3 years of experience)
<br><br>
<b>Special Requirements:</b><br>
Strong analytical and technical writing skills are required for this position. Good communication/organization skills, a full understanding of basic PK concepts, and familiarity with WinNonlin and GLP regulations are essential. Prior modeling/simulation experience and knowledge of Splus/R and SAS/JMP are highly desirable.
<br><br>
<b>Job Complexity:</b><br>
Familiarity with standard noncompartmental data analysis software. Experience with standard population modeling and associated software (NONMEM, R/Splus, SAS) is highly desirable. Prior training in statistics, numerical method and computer programming is a plus.
<br>Good communication skills and ability to work in a cross-functional team environment; Experience in regulatory filings and knowledge of GLP regulation are desired
<br>Function with minimal supervision</span>","1,412 reviews","South San Francisco, CA 94080"
Institutional Research Analyst,University of California San Francisco,"<span id=""job_summary"" class=""summary""><div>Working closely with the School of Dentistry leadership, the Institutional Research Analyst will be responsible for development, implementation, maintenance, enhancement, and support of data warehousing, business intelligence, dashboard creation, and reporting initiatives.<br>
<br>
This position solves complex data problems found in higher education that requires speed and accuracy in arriving at a solution. This includes the initiation and research of project studies for analytics requirements/needs, development of reports, extracts, dashboards, and other business requirements. This position requires the developer to follow through the entire development process from translating the business need into technical requirements all the way to a successful solution with little supervision.<br>
<br>
UCSF SCHOOL OF DENTISTRY<br>
MISSION: Advancing health through excellence in patient care, education and discovery.<br>
VISION: To be the preeminent innovator in oral and craniofacial health worldwide.<br>
VALUES: Through our values, we demonstrate PRIDE in all that we do.<br>
Professionalism, Respect, Integrity, Diversity and Excellence.<br>
<br>
The School is committed to providing outstanding, integrated patient-centered care, preparing the next generation of clinicians and scientists for a rapidly evolving health care system, leading the world in scientific discovery and its translation into improved patient care and public health, creating and maintaining a supportive work and learning environment that attracts the best faculty, staff, students and trainees who can meet the changing needs of the School, society and profession, and optimizing resources to support strategic objectives and maximize stakeholder value.
<br>
<br>
We provide comprehensive oral health care services with over 120,000 patient visits per year. We offer a four-year DDS program as well as a two-year program for international dentists that culminates in the DDS degree. We have numerous specialty residencies, PhD and Master’s degree programs in Oral and Craniofacial Sciences, a combined DDS-PhD program, and a combined PhD-dental specialty training program. Other graduate programs include Craniofacial and Mesenchymal Biology and Bioengineering, and a DDS/MBA program. The School is one of the preeminent oral and craniofacial research enterprises in the world, ranking number one in National Institute of Health funding for 24 consecutive years.
<br>
<br>
UCSF DENTAL CENTER<br>
UCSF Dental Center is a cohesive entity within the structure of UCSF’s School of Dentistry that oversees and operates all clinical activities in the Dental School. Its primary goal is to provide outstanding, seamless, cutting-edge patient-centered care. The Dental Center also aims to provide state of the art clinical experiences and education to students; deliver cost-effective dental health care; and generate resources for reinvestment in the School of Dentistry’s educational, clinical and scholarship missions.<br>
<br>
UCSF Dental Center’s primary services include all advanced dental specialty programs, and the general dentistry and specialty faculty practices. A majority of the Dental Center’s clinical facilities are located at the Parnassus Campus, with affiliated clinics at Buchanan Dental Center and an additional presence at Mission Bay and the Priscilla Chan and Mark Zuckerberg San Francisco General Hospital and Trauma Center (ZSFG).
<br>
<br>
ABOUT UCSF
<br>
The University of California, San Francisco (UCSF) is a leading university dedicated to promoting health worldwide through advanced biomedical research, graduate-level education in the life sciences and health professions, and excellence in patient care. It is the only campus in the 10-campus UC system dedicated exclusively to the health sciences.</div></span>",269 reviews,"San Francisco, CA"
